TYPE,EVENT_TYPE,NAME,VALUE,MIN,MAX,CHECK_STATS,ADD_STATS
event,planet,Maki Donats,Crew is getting hungrier by the second and having some fast food is never a bad option. What should we eat captain?,,,,
event_option,,Double Sloorg Meat Combo,SCRAP,0,-2,,
event_option_outcome,,One of the engineers was indigested and died.,PEOPLE,-1,-1,,
event_option_outcome,,"Food wasn't bad, but the bathroom is a mess.",SCRAP,3,5,,
event_option,,Suncream with extra mini metoerites,SCRAP,-1,-1,,
event_option_outcome,,"We discovered a new flavour, crew is happy.",KNOWLEDGE,2,3,,
event_option,,Just free water please,NONE,0,0,,
event_option_outcome,,We lost the chance of trying something new.,LUCKIES,0,0,,
,,,,,,,
event,ship,The Explorer,"A ship is asking us for help finding its lost pairs that went far away ahead, probably in a different solar system by now.",,,,
event_option,,"Tell them to surrender already, there is no way to reach them.",KNOWLEDGE,-1,-2,,
event_option_outcome,,They accept and stop trying.,LUCKIES,2,4,,
event_option_outcome,,They seem to accept but rename the ship to The Edge,SCRAP,-1,1,,
event_option_outcome,,They ignore us and just follow their path.,LUCKIES,-2,-3,,
event_option,,Give them one of our best vibe coders.,PEOPLE,-1,-1,,
event_option_outcome,,Our vibe coder redirect them to the opposite direction.,LUCKIES,1,2,,
event_option_outcome,,They don't like the option and instead they give us their best vibe coder.,PEOPLE,2,2,,
,,,,,,,
event,wormhole,Space Troll Tax,It seems we found a way to escape the galaxy but the Space Troll is asking us luckies tax,,,,+reached_end_once
event_option,,Pay luckies and see if we can leave the galaxy safe,LUCKIES,-20,-20,,
event_option_outcome,,"The Space Troll cheated and he ate the crew, that gave us time to enter the wormhole.",PEOPLE,-2,-4,,
event_option_outcome,,The Space Troll accepted..... but the wormhole is somehow cursed.,LUCKIES,-4,-8,,
event_option_outcome,,"We did it, we escaped the galaxy.",LUCKIES,5,10,,+game_complete
event_option,,Fire torpedoes at the Space Troll and escape fast.,SCRAP,-4,-8,,
event_option_outcome,,"The Space Troll had a planetary shield, he is angry but we escaped.",LUCKIES,-2,-6,,
event_option_outcome,,We managed to escape safe while the Space Troll was blinded by the torpedoes.,KNOWLEDGE,4,8,,
event_option,,Propose a riddle and if he fails we can pass without paying.,KNOWLEDGE,-1,-2,,
event_option_outcome,,"It took some time but he managed to solve it, now we had to pay double.",LUCKIES,-4,-8,,
event_option_outcome,,"While he was distracted solving the riddle, we activated invisibility and escaped.",SCRAP,-5,-10,,
event_option_outcome,,"The Space Troll failed to solve the riddle, he paid us and allowed us to continue.",LUCKIES,5,10,,
,,,,,,,
event,planet,Pyramidus Aurelius,A successful farmer offers us an investment package raising Sloorgs.,-,-,,
event_option,,Looks like a deal. But let's invest a little.,SCRAP,-3,-4,,
event_option_outcome,,The sloorgs were sold for a profit and we got our share!,SCRAP,3,9,,
event_option_outcome,,After a while the merchants dissapear with our savings,SCRAP,-5,-5,,
event_option,,"I don't know, seems fishy",KNOWLEDGE,-2,-1,,
event_option_outcome,,Aurelius tells us we are making the worst decision of our lives.,LUCKIES,0,5,,
event_option,,Go all in,SCRAP,-7,-7,,
event_option_outcome,,The sloorgs were sold for a profit and we got our share!,SCRAP,9,10,,
event_option_outcome,,After a while the merchants dissapear with our savings,SCRAP,-7,-7,,
,,,,,,,
event,ship,Scientist Deliver,The Captain of the ship is asking if we can deliver a new species sample to a planet lab.,,,,
event_option,,"Accept, even though we don't have a containment system.",KNOWLEDGE,-1,-2,,
event_option_outcome,,The new species creature escaped and has eaten part of our crew.,PEOPLE,-1,-2,,
event_option_outcome,,"We are now traveling with an unknown creature, what could go wrong?",LUCKIES,-2,2,,
event_option_outcome,,The new species have some bacteria that replicates food.,FOOD,5,10,,
event_option,,Send them a scientist to help them deal with the samples.,PEOPLE,-1,-1,,
event_option_outcome,,The scientist team wasn't so happy but they stayed for something in return.,LUCKIES,-1,-2,,
event_option_outcome,,They accepted the offer and gave us some reward.,SCRAP,3,6,,
event,asteroid,Guitarrius Center,A music label from Madonus II offers us a chance to participate in a contest remixing the latest song from the closest galaxy biggest pop star : Glatubela.,,,,
event_option,,"Lets make a banger, baby. Some of us are experimented musicians and we ready for the challenge.",KNOWLEDGE,-1,-2,,
event_option_outcome,,Our guitarrist strums his guitar and creates the most beautiful melody in that asteroid belt but the judges don't care. We finished last,LUCKIES,-2,2,,
event_option_outcome,,Meltron Gion (the most important judge) thinks our song is beautiful. We won 1st place,SCRAP,3,6,,
event_option_outcome,,Our drummer dies from a heart attack.,PEOPLE,-1,-1,,
event_option,,"We don't play any instruments, sorry.",NONE,0,0,,
event_option_outcome,,Nothing happens but the crew remains unhappy because music is life,NONE,0,0,,
event_option_outcome,,Simon Cowell Teleports to our ship and steals our food,FOOD,-1,-1,,
event_option,,"Who's Glatubela? Accept, even though we don't have any idea about music",SCRAP,-1,-2,,
event_option_outcome,,Our song sounds like a thousand little Sytrulius dying in unison. We won the contest and the price is old chopped slurg meat ,FOOD,3,6,,
event_option_outcome,, Porter Robinson twits about our song and makes fun of us.,LUCKIES,-1,-2,,
event,planet,Prometheus IV,The planet seems to be empty but found some empty ships suggesting it was visited before. Should we explore to see what happened here?,,,,
event_option,,Send someone to explore but avoid opening eggs please.,NONE,0,0,,
event_option_outcome,,"They obviously opened the eggs, got infected and died.",PEOPLE,-1,-2,,
event_option_outcome,,"There were no strange eggs in this planet, but we found out some old ships and dead people.",SCRAP,7,14,,
event_option,,"Clearly, this is not a planet to explore, ignore and leave.",LUCKIES,0,2,,
event_option_outcome,,"The crew is bored for now going down, they decided to play some games and ended up breaking stuff.",SCRAP,-2,-4,,
event_option_outcome,,"Our scientist team is not happy, they obviously wanted to explore new planets.",FOOD,-1,-2,,
event_option_outcome,,"We were indeed lucky, we found out other scientist teams died on this planet, our crew is happy we didn't go down.",LUCKIES,2,4,,
,,,,,,,
event,wormhole,Boris Wormhole,"We found a wormhole that seems deep and  dark. A voice from inside yells ; ""Come Inside!""",,,,
event_option,,Send a probe with a crew member and a walkie talkie.,PEOPLE,-1,-1,,
event_option_outcome,,After a while the crew member talks from the radio and tells us he's in an alternative universe that is way cooler than ours. Then... radio silence,PEOPLE,-1,-1,,
event_option_outcome,,"The crew member confirms it is safe to go and there is a lucky place on the other side, then he comes back with a lot of Four-Leaved Clovers",LUCKIES,2,4,,
event_option,,Ignore and leave,LUCKIES,0,2,,
event_option_outcome,,while trying to start our engines a tentacle coming from the hole grabs us and shakes us for a little and then goes back were it came from. We are dizzy and have to eat something.,FOOD,-1,-2,,
event_option,,Shoot our trash receptacles into the hole. Better than recycling.,NONE,0,0,,
event_option_outcome,,The hole shoots us back our trash and some brownish used toilet paper,LUCKIES,-1,-2,,
event_option_outcome,,"After a while, an escape pod with people comes out of the hole and the want to join our crew",PEOPLE,2,3,,
,,,,,,,
event,asteroid,Ship Miner,We found a mining ship saying is trying to save the universe from an Anomaly and is asking for minerals.,,,,
event_option,,"It seems familiar but this is the game, just send something to continue playing.",SCRAP,-1,-2,,
event_option_outcome,,"The Ship acknowledges and continues mining, like that's all it does.",NONE,0,0,,
event_option_outcome,,"An anomaly appears in the asteroid, we escape as fast as possible. It wasn't lying.",KNOWLEDGE,2,4,,
event_option,,"We don't have the minerals the ship needs, we continue our journey.",LUCKIES,-1,0,,
event_option_outcome,,The ship sent an attacking drone that hit our food storage.,FOOD,-1,-3,,
event_option_outcome,,"We were right, that ship is from another game of the same dev.",LUCKIES,3,6,,
,,,,,,,
event,ship,Captain Sheen-Luck Picaro from the Federation Trekshop,We end up face to face with a huge ship that seems friendly. A radio communication starts and a voice tells us we should stay a while and listen...,0,0,,
event_option,,Listen to this misterious person.,FOOD,-1,-2,,
event_option_outcome,,"""My love... is a fever, longing still, For that which longer nurseth the disease. In faith, I do not love thee with mine eyes, For they in thee a thousand errors see; But 'tis my heart that loves what they despise, Who, in despite of view, are pleased to dote. Shall I compare thee to a summer's day? Thou art more lovely and more temperate. 'Tis better to have loved and lost than never to have loved at all.""",LUCKIES,1,2,,
event_option_outcome,,"Gentlemen, I have the utmost confidence in your ability to perform... the impossible.",LUCKIES,1,2,,
event_option,,Let's get out of here before they realize we haven't showered for more than a week,NONE,0,0,,
event_option_outcome,,"While we are leaving we hear:  An accident in which all five cadets lost their lives. I think that Nicholas Locarno wanted to end his Academy career in a blaze of glory. That he convinced the four of you to learn the Kolvoord Starburst for the commencement demonstration. If it worked, you would thrill the assembled guests and Locarno would graduate as a living legend. Only it didn't work, and Joshua Albert paid the price. Am I correct? Cadet, I asked you a question. Am I correct?",LUCKIES,-1,-1,,
,,,,,,,
event,ship,The Pirates of Captain Lechuck,Captain Lechuck and his crew found us and are asking if we have information about some guy Brush something.,,,,
event_option,,We met some governor in a planet that mention something about it.,KNOWLEDGE,-2,-1,,
event_option_outcome,,"They don't believe we were in Monkey Planet, they want something in return.",SCRAP,-1,-3,,
event_option_outcome,,That and some old bread that we had in the storage seem to make them happy... for now.,FOOD,-1,-3,,
event_option,,"One of the crew is named similar, we should send him instead.",PEOPLE,-1,-1,,
event_option_outcome,,"Ok,... it seems it wasn't a good idea, they just killed him... but at least they are happy?",LUCKIES,3,6,,
event_option_outcome,,"He was an old pirate it seems, and joined Lechuck's crew, in return they gave us a map to the Monkey Planet.",KNOWLEDGE,2,8,,
,,,,,,,
event,asteroid,The Protomolecule I,"Found some researchers in the asteroid talking about a proto-something, but once we talked to them they just changed topic.",,,,
event_option,,"Ask for more information, we are interested in knowing about that proto-thingy.",KNOWLEDGE,1,2,,
event_option_outcome,,They picked a ship and escaped fast without giving too much info. There is a blue thing glowing below some rocks.,LUCKIES,-1,-2,,
event_option_outcome,,One of the researchers is willing to talk more... if we give him something to eat first.,FOOD,-2,-4,,
event_option,,Sent one of our main spies to get their research before they leave...,PEOPLE,-1,-1,,
event_option_outcome,,"The research is pretty interesting, this protomolecule is powerful and unstable. Could become handy in the future.",KNOWLEDGE,4,8,,+protomolecule
event_option_outcome,,They discovered our spy and decided to attack us. We lost some ship parts before escaping.,SCRAP,-2,-4,,
,,,,,,,
event,planet,Sagan VI,Some poor creatues of the planet said they were attacked by an army recently and need some help.,,,,
event_option,,Provide some aid and ask them about their attackers.,FOOD,-1,-3,,
event_option_outcome,,"They said the attackers went by the name of Iron Marines, destroying everything in their path without asking.",KNOWLEDGE,3,6,,
event_option_outcome,,"They are in no mood to talk about that, and a bit aggresive it seems, maybe they weren't so innocent after all.",LUCKIES,-1,-3,,
event_option,,"They don't seem so indefense nor innocent, maybe they are lying.",KNOWLEDGE,-1,-1,,
event_option_outcome,,"We were right and escaped in time, but not without taking some planet samples first.",LUCKIES,4,8,,
event_option_outcome,,We attacked first and hitted hard but they defended themselves and we lost part of our crew.,PEOPLE,-1,-2,,
,,,,,,,
event,ship,Alien Ship I,We found a ship that looks like scientist vessel but we can't communicate with the crew.,,,,
event_option,,Send a team to investigate what happened.,KNOWLEDGE,2,4,,
event_option_outcome,,We OBVIOUSLY found some Xenomorph and lost our team fighting it.,PEOPLE,-1,-3,,
event_option_outcome,,"The ship seems empty and long gone, we found some interesting material though.",SCRAP,2,5,,
event_option,,Throw some torpedos to destroy it and leave as soon as possible.,SCRAP,-2,-5,,
event_option_outcome,,"The explosion was big, we weren't far enough, it hit our food storage.",FOOD,-1,-3,,
event_option_outcome,,We are convinced we did the right call even though nobody will argue that because nobody will ever know...,LUCKIES,2,5,,
,,,,,,,
,,,,,,,
event,asteroid,The Miners,We found some miners trapped under their excavation site after an accident buried them and they ask for help be we have to be careful. The terrain is still unstable.,,,,
event_option,,Send a team to excavate the depths and create an elevator to help them get out,FOOD,-1,-3,,
event_option_outcome,,After a while we manage to save them and they are very happy to join. They also stink and are hungry.,PEOPLE,3,6,,
event_option_outcome,,"There's an explosion that kills some of our crew, but we manage to save most of them. The rest are still trapped but at least they have their gameboys with them.",LUCKIES,-1,-3,,
event_option_outcome,,"Something goes wrong, our crew communication got silent and we only hear weird sounds comming for the radios. Let's get out of here.",PEOPLE,-1,-3,,
event_option,,No way José.... We only send José and pray for the best.,KNOWLEDGE,-1,-1,,
event_option_outcome,,José is an action hero and manages to rescue everyone and finds some nice scrap at the site.,SCRAP,4,8,,
event_option_outcome,,"José dissapears and we get out of there but we somehow know that he's alive, met his wife in the depths and is now the happiest man alive.",PEOPLE,-1,-1,,
